,URL
0,http://www.lapresse.ca/actualites/justice-et-affaires-criminelles/actualites-judiciaires/201608/04/01-5007200-michele-audette-un-reservoir-inepuisable-denergie.php
1,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/25/01-4615193-ottawa-ferme-le-portail-des-autochtones-au-canada.php
2,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/09/01-4609544-affaires-autochtones-harper-defend-son-bilan.php
3,http://www.lapresse.ca/actualites/national/201604/13/01-4970820-attawapiskat-lontario-fournira-jusqua-deux-millions.php
4,http://www.lapresse.ca/actualites/national/201302/01/01-4617297-kahnawake-les-autochtones-ne-veulent-pas-percevoir-de-taxes-sur-lessence.php
5,http://www.lapresse.ca/actualites/quebec-canada/national/201301/13/01-4610852-autochtones-ottawa-injecte-330-m-dans-les-reseaux-daqueduc-et-degout.php
6,http://www.lapresse.ca/actualites/justice-et-faits-divers/201301/08/01-4609182-les-metis-et-les-indiens-non-inscrits-sont-des-indiens-tranche-la-cour.php
7,http://www.lapresse.ca/actualites/quebec-canada/national/201301/12/01-4610784-une-militante-autochtone-veut-rendre-un-prix-en-soutien-a-theresa-spence.php
8,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/06/01-4608797-flou-dans-les-finances-dattawapiskat.php
9,http://www.lapresse.ca/actualites/national/201212/30/01-4607534-la-liaison-ferroviaire-toronto-montreal-bloquee.php
10,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/06/01-4601533-harper-dit-non-au-relachement-du-controle-des-armes-a-feu.php
11,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/09/01-4609721-spence-ne-sera-pas-au-sommet-avec-harper.php
12,http://www.lapresse.ca/actualites/national/201301/24/01-4614423-shawn-atleo-reprend-son-travail-a-lassemblee-des-premieres-nations.php
13,http://www.lapresse.ca/actualites/national/201301/16/01-4611990-idle-no-more-journee-nationale-daction.php
14,http://www.lapresse.ca/actualites/national/201302/02/01-4617744-idle-no-more-cette-crise-dont-personne-ne-veut.php
15,http://www.lapresse.ca/debats/chroniques/alain-dubuc/201301/14/01-4610997-la-tempete-parfaite.php
16,http://www.lapresse.ca/debats/editoriaux/andre-pratte/201301/17/01-4612395-une-paix-des-braves-canadienne.php
17,http://www.lapresse.ca/international/etats-unis/201211/21/01-4596026-san-francisco-bannit-la-nudite-publique.php
18,http://www.lapresse.ca/vivre/societe/201603/08/01-4958425-natasha-kanape-fontaine-je-dis-je-pour-dire-les-autres.php
19,http://www.lapresse.ca/actualites/national/201301/07/01-4609029-spence-qualifie-une-verification-comptable-de-sa-reserve-de-distraction.php
20,http://www.lapresse.ca/actualites/elections-federales/201510/25/01-4913711-la-colere-a-encourage-les-autochtones-a-voter.php
21,http://www.lapresse.ca/actualites/national/201301/06/01-4608733-idle-no-more-theresa-spence-obtient-lappui-de-paul-martin.php
22,http://www.lapresse.ca/actualites/montreal/201311/15/01-4711162-les-femen-sinvitent-au-palais-des-congres.php
23,http://www.lapresse.ca/actualites/montreal/201309/12/01-4688795-manifestation-contre-la-charte-des-valeurs-prevue-samedi-a-montreal.php
24,http://www.lapresse.ca/actualites/politique/politique-quebecoise/201301/06/01-4608751-quebec-solidaire-appuie-theresa-spence.php
25,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201301/09/01-4609541-les-haitiens-du-nord.php
26,http://www.lapresse.ca/actualites/national/201303/26/01-4634756-les-autochtones-a-ottawa-harper-a-toronto.php
27,http://www.lapresse.ca/actualites/national/201401/03/01-4725302-droits-de-la-personne-le-musee-des-controverses.php
28,http://www.lapresse.ca/actualites/national/201212/21/01-4606144-les-premieres-nations-manifestent-contre-le-budget-conservateur.php
29,http://www.lapresse.ca/actualites/national/201212/20/01-4605784-idle-no-more-la-contestation-setend-a-montreal.php
30,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201301/10/01-4610274-un-autre-rendez-vous-de-la-derniere-chance.php
31,http://www.lapresse.ca/debats/editoriaux/francois-cardinal/201301/10/01-4610192-les-racines-de-la-colere.php
32,http://www.lapresse.ca/actualites/national/201301/05/01-4608630-idle-no-more-diverses-manifestations-fermeture-dun-pont-transfrontalier.php
33,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/27/01-4607114-premieres-nations-chute-dramatique-de-la-construction-dhabitations.php
34,http://www.lapresse.ca/actualites/national/201301/24/01-4614596-hospitalisee-la-chef-spence-rate-une-partie-des-ceremonies-en-son-honneur.php
35,http://www.lapresse.ca/environnement/dossiers/gaz-de-schiste/201302/15/01-4622013-nouveau-brunswick-nouvelles-regles-pour-le-gaz-de-schiste.php
36,http://www.lapresse.ca/debats/chroniques/vincent-marissal/201312/27/01-4724362-2013-en-10-noms.php
37,http://www.lapresse.ca/actualites/politique/politique-canadienne/201503/19/01-4853722-une-centaine-de-groupes-contre-c-51-au-nom-de-la-liberte-dexpression.php
38,http://www.lapresse.ca/actualites/national/201302/02/01-4617742-autochtones-le-quebec-est-il-vraiment-un-modele-a-suivre.php
39,http://www.lapresse.ca/actualites/national/201301/21/01-4613492-idle-no-more-serait-loin-de-faire-lunanimite.php
40,http://www.lapresse.ca/actualites/national/201408/17/01-4792391-opposition-au-gaz-de-schiste-le-federal-craignait-un-mouvement-national.php
41,http://www.lapresse.ca/actualites/national/201301/12/01-4610684-le-mouvement-idle-no-more-peu-connu-au-quebec.php
