,URL
0,https://www.thestar.com//news/canada/2013/10/07/a_un_envoy_steps_into_the_canadian_fire_tim_harper.html
1,https://www.thestar.com//news/canada/2013/01/12/first_nation_protesters_remove_blockade_on_train_track_in_nova_scotia.html
2,https://www.thestar.com//opinion/commentary/2015/01/07/how_to_take_back_the_country_in_this_years_federal_election.html
3,https://www.thestar.com//news/canada/2014/08/24/for_stephen_harper_governing_means_never_asking_why_tim_harper.html
4,https://www.thestar.com//news/canada/2013/01/11/tanya_kappo_had_first_epiphany_as_a_native_in_derelict_residential_school.html
5,https://www.thestar.com//news/canada/2013/01/11/stephen_harper_vows_new_focus_on_aboriginal_issues_after_meeting_native_leaders.html
6,https://www.thestar.com//opinion/commentary/2014/11/16/new_hope_for_first_nations_goar.html
7,https://www.thestar.com//news/canada/2014/04/27/tom_flanagan_clawing_back_from_a_virtual_mobbing_tim_harper.html
8,https://www.thestar.com//news/canada/2015/12/09/a-justin-trudeau-reset-of-first-nations-relations-aims-sky-high-harper.html
9,https://www.thestar.com//opinion/editorials/2015/04/28/lack-of-trained-nurses-in-first-nations-communities-underlines-ottawas-neglect-editorial.html
10,https://www.thestar.com//news/canada/2015/11/13/this-is-where-im-supposed-to-be-justice-minister-jody-wilson-raybould-says.html
11,https://www.thestar.com//news/canada/2013/01/16/photos_idle_no_more_protests_across_canada.html
12,https://www.thestar.com//trust/2017/08/04/how-the-stars-tanya-talaga-approaches-her-coverage-of-indigenous-affairs.html
13,https://www.thestar.com//news/weekend/2013/01/19/idle_no_more_the_rise_of_pam_palmater.html
14,https://www.thestar.com//opinion/editorials/2015/06/02/canada-must-rebuild-trust-and-make-amends-for-residential-school-abuse-editorial.html
15,https://www.thestar.com//news/canada/2013/01/04/idle_no_more_protests_key_members_pledge_to_continue_action.html
16,https://www.thestar.com//news/canada/2013/01/13/thomas_mulcair_endorses_conservative_efforts_with_first_nations.html
17,https://www.thestar.com//news/canada/2013/01/11/tim_harper_no_excuse_for_inaction_at_aboriginal_meeting.html
18,https://www.thestar.com//news/canada/2013/01/03/idle_no_more_movement_could_become_challenge_for_stephen_harper.html
19,https://www.thestar.com//opinion/commentary/2015/11/11/conservatives-need-an-honest-post-mortem-goar.html
20,https://www.thestar.com//news/insight/2013/01/04/justin_trudeau_idle_no_more_shake_up_ottawa_in_2013.html
21,https://www.thestar.com//news/canada-150/2017/04/01/150th-anniversary-lays-bare-anger-of-indigenous-canadians-not-invited-to-first-party.html
22,https://www.thestar.com//opinion/editorials/2013/05/09/canadas_2011_national_household_survey_reveals_an_aboriginal_population_struggling_to_cope_editorial.html
23,https://www.thestar.com//news/gta/2013/02/25/ontario_premier_kathleen_wynne_wants_to_stop_spread_of_precarious_work.html
24,https://www.thestar.com//news/canada/2013/03/19/federal_budget_2013_finance_minister_jim_flaherty_confirms_boost_for_manufacturing_industry.html
25,https://www.thestar.com//opinion/commentary/2015/08/27/do-politicians-really-want-an-engaged-electorate.html
26,https://www.thestar.com//news/canada/2013/01/02/idle_no_more_demonstrators_hold_closing_ceremonies_plan_to_be_off_sarnia_rail_spur_by_thursday_morning.html
27,https://www.thestar.com//news/canada/2014/09/04/old_political_workhorses_seek_new_aboriginal_partnerships_tim_harper.html
28,https://www.thestar.com//news/2014/11/07/the_resurgence_of_indigenous_power.html
29,https://www.thestar.com//news/gta/2017/07/01/torontos-indigenous-activists-raise-awareness-at-canada-day-picnic.html
30,https://www.thestar.com//news/canada/2013/01/08/federal_court_set_to_rule_on_rights_of_metis_and_nonstatus_indians.html
31,https://www.thestar.com//news/canada/2012/12/24/attawapiskat_residents_spread_christmas_warmth.html
32,https://www.thestar.com//news/canada/2013/01/11/hard_drive_containing_583000_student_loan_records_missing.html
33,https://www.thestar.com//news/canada/2013/01/07/scathing_federal_government_audit_dismissed_by_attawapiskat_chief_theresa_spence_as_distraction.html
34,https://www.thestar.com//news/canada/2013/04/22/star_obtains_documents_outlining_federal_objectives_for_meeting_with_aboriginal_leaders.html
35,https://www.thestar.com//news/canada/2013/01/29/tim_harper_a_day_with_stephen_harper_his_office_his_cat_and_his_chinchilla.html
36,https://www.thestar.com//news/canada/2013/01/11/idle_no_more_activist_inspired_by_late_mother.html
37,https://www.thestar.com//entertainment/visualarts/2016/07/22/wanda-nanibush-named-agos-first-curator-of-indigenous-art.html
38,https://www.thestar.com//news/canada/2017/06/29/trudeau-urges-respect-for-indigenous-groups-who-dont-want-to-celebrate-canada-150.html
39,https://www.thestar.com//news/canada/2013/01/11/qubcoisinnu_woman_leads_idle_no_more_in_quebec.html
40,https://www.thestar.com//news/canada/2013/02/02/liberal_leadership_protesters_make_biggest_bang_at_polite_debate.html
41,https://www.thestar.com//news/canada/2013/01/28/idle_no_more_activists_resume_protests_against_conservatives.html
42,https://www.thestar.com//entertainment/visualarts/2016/08/15/inside-the-walls-with-wanda-nanibush-the-agos-agent-of-change.html
43,https://www.thestar.com//news/canada/2014/04/14/superior_court_judge_unfairly_favoured_cn_during_aboriginal_dispute_rulings_leading_academic.html
44,https://www.thestar.com//entertainment/music/2014/06/23/the_parachute_club_releases_remix_version_of_rise_up.html
45,https://www.thestar.com//news/gta/2016/10/10/demonstrators-at-dundas-square-take-green-message-to-the-concrete-core.html
46,https://www.thestar.com//news/2013/01/31/mp_royal_galipeau_audio.html
47,https://www.thestar.com//news/canada/2013/08/27/attawapiskat_holds_voting_despite_complaints_from_offreserve_members.html
48,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/20/a_few_ways_to_contribute.html
49,https://www.thestar.com//news/canada/2013/01/09/vancouvers_kelly_white_a_native_activist_for_40_years.html
50,https://www.thestar.com//news/canada/2013/01/06/idle_no_more_activists_block_via_rail_tracks_near_kingston.html
51,https://www.thestar.com//opinion/commentary/2015/05/30/indigenous-stories-too-often-shut-out-of-media.html
52,https://www.thestar.com//life/2017/08/16/come-out-to-parents-on-your-own-terms-ellie.html
53,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/14/idle_no_more_not_about_handouts.html
54,https://www.thestar.com//news/gta/2015/06/02/toronto-street-signs-a-reminder-of-first-nations-heritage.html
55,https://www.thestar.com//news/canada/2012/12/21/first_nations_groups_hold_day_of_protest_against_tory_government_policies.html
56,https://www.thestar.com//news/canada/2015/02/17/rcmp-called-anti-petroleum-critics-a-potential-security-threat.html
57,https://www.thestar.com//news/canada/2015/07/07/first-nations-chief-bellegarde-calls-for-reconciliation.html
58,https://www.thestar.com//opinion/editorialopinion/2013/01/03/kelowna_accord_holds_key_to_native_renewal.html
59,https://www.thestar.com//opinion/editorials/2012/12/21/ottawa_should_step_up_on_native_education.html
60,https://www.thestar.com//opinion/commentary/2014/12/03/well_be_defined_by_how_we_deal_with_aboriginals_siddiqui.html
61,https://www.thestar.com//opinion/editorialopinion/2013/01/20/tom_mulcair_calls_for_respectful_nationtonation_relations_with_aboriginal_peoples.html
62,https://www.thestar.com//news/canada/2014/12/09/a_bill_meant_to_sow_conflict_confrontation_with_natives_does_its_job_tim_harper.html
63,https://www.thestar.com//entertainment/books/2014/11/09/indigenous_writers_take_the_stage_at_inspire_book_fair.html
64,https://www.thestar.com//news/canada/2013/10/07/idle_no_more_protesters_mark_250th_anniversary_of_royal_proclamation.html
65,https://www.thestar.com//news/canada/2014/08/17/fracking_protest_raised_government_concerns_of_new_idle_no_more.html
